raw_id_estado,raw_municipio,cvegeo,notes
14,TLAQUEPAQUE,14098,San Pedro Tlaquepaque (INEGI 14098)
23,SOLIDARIDAD,23008,Hoy Playa del Carmen; mantiene CVEGEO 23008
19,CARMEN,19010,El Carmen (Nuevo León); RNPDNO omite el artículo
11,SILAO,11037,Silao de la Victoria
09,MAGDALENA CONTRERAS,09008,La Magdalena Contreras
30,TÚXPAM,30189,Tuxpan Veracruz
11,DOLORES HIDALGO,11014,Dolores Hidalgo Cuna de la Independencia Nacional
30,MEDELLÍN,30105,Medellín de Bravo
17,TLALTIZAPÁN,17024,Tlaltizapán de Zapata
12,JOSÉ AZUETA,12038,Zihuatanejo de Azueta
30,TEMAPACHE,30160,Álamo Temapache
17,ZACATEPEC DE HIDALGO,17031,Zacatepec
15,ACAMBAY,15001,Acambay de Ruíz Castañeda
07,CINTALAPA,07017,Cintalapa de Figueroa
29,YAUHQUEMECAN,29043,Yauhquemehcan
17,JONACATEPEC,17013,Jonacatepec de Leandro Valle
20,JUCHITÁN DE ZARAGOZA,20043,Heroica Ciudad de Juchitán de Zaragoza
30,CAZONES,30033,Cazones de Herrera
30,HUILOAPAN,30074,Huiloapan de Cuauhtémoc
24,AHUALULCO,24001,Ahualulco del Sonido 13
05,CUATROCIÉNEGAS,05007,Cuatro Ciénegas
08,BATOPILAS,08008,Batopilas de Manuel Gómez Morín
08,TEMÓSACHI,08063,Temósachic
12,APAXTLA,12006,Apaxtla de Castrejón
20,HUAJUAPAN DE LEÓN,20039,Heroica Ciudad de Huajuapan de León
20,MIAHUATLÁN DE PORFIRIO DÍAZ,20059,Heroica Ciudad de Miahuatlán de Porfirio Díaz
20,VILLA DE TUTUTEPEC DE MELCHOR OCAMPO,20334,Villa de Tututepec
29,ALTZAYANCA,29004,Atltzayanca
20,SAN PEDRO MIXTEPEC-JUQUILA,20318,San Pedro Mixtepec Dto. 22 Juquila
20,SAN PEDRO MIXTEPEC-MIAHUATLAN,20319,San Pedro Mixtepec Dto. 26 Miahuatlán
08,ROSARIO,08056,Rosario Chihuahua
20,SAN PEDRO TOTOLAPA,20333,San Pedro Totolápam
20,SANTIAGO CHAZUMBA,20459,Villa de Santiago Chazumba
29,ZITLALTEPEC,29037,Ziltlaltépec de Trinidad Sánchez Santos
