estado,desap_count_acum,fuente
TAMAULIPAS,11602,RNPDNO estatus 7
JALISCO,10767,RNPDNO estatus 7
ESTADO DE MEXICO,8577,RNPDNO estatus 7
MICHOACAN,6242,RNPDNO estatus 7
NUEVO LEON,6132,RNPDNO estatus 7
VERACRUZ,6129,RNPDNO estatus 7
SINALOA,5622,RNPDNO estatus 7
SONORA,4842,RNPDNO estatus 7
GUANAJUATO,4350,RNPDNO estatus 7
CIUDAD DE MEXICO,4177,RNPDNO estatus 7
CHIHUAHUA,3531,RNPDNO estatus 7
GUERRERO,3510,RNPDNO estatus 7
ZACATECAS,3440,RNPDNO estatus 7
BAJA CALIFORNIA,3120,RNPDNO estatus 7
COAHUILA,2715,RNPDNO estatus 7
PUEBLA,1928,RNPDNO estatus 7
TABASCO,1922,RNPDNO estatus 7
MORELOS,1703,RNPDNO estatus 7
NAYARIT,1459,RNPDNO estatus 7
CHIAPAS,1381,RNPDNO estatus 7
QUINTANA ROO,1242,RNPDNO estatus 7
HIDALGO,1137,RNPDNO estatus 7
COLIMA,1059,RNPDNO estatus 7
SAN LUIS POTOSI,1008,RNPDNO estatus 7
DURANGO,806,RNPDNO estatus 7
BAJA CALIFORNIA SUR,743,RNPDNO estatus 7
OAXACA,544,RNPDNO estatus 7
QUERETARO,513,RNPDNO estatus 7
AGUASCALIENTES,318,RNPDNO estatus 7
YUCATAN,239,RNPDNO estatus 7
TLAXCALA,145,RNPDNO estatus 7
CAMPECHE,96,RNPDNO estatus 7
