anio,desap_count,fuente
2010,4191,"RNPDNO estatus 7, panel ML"
2011,5148,"RNPDNO estatus 7, panel ML"
2012,4202,"RNPDNO estatus 7, panel ML"
2013,4559,"RNPDNO estatus 7, panel ML"
2014,4520,"RNPDNO estatus 7, panel ML"
2015,4115,"RNPDNO estatus 7, panel ML"
2016,5499,"RNPDNO estatus 7, panel ML"
2017,6888,"RNPDNO estatus 7, panel ML"
2018,6839,"RNPDNO estatus 7, panel ML"
2019,8291,"RNPDNO estatus 7, panel ML"
2020,7802,"RNPDNO estatus 7, panel ML"
2021,7842,"RNPDNO estatus 7, panel ML"
2022,8247,"RNPDNO estatus 7, panel ML"
2023,10316,"RNPDNO estatus 7, panel ML"
2024,12540,"RNPDNO estatus 7, panel ML"
